Civilian_Casualties,Count_of_Persons_Rescued,Estimated_Dollar_Loss,Estimated_Number_Of_Persons_Displaced,Fire_Alarm_System_Impact_on_Evacuation,Fire_Alarm_System_Operation,Fire_Alarm_System_Presence,Fire_Under_Control_Time,Ignition_Source,Last_TFS_Unit_Clear_Time,Latitude,Longitude,Possible_Cause,Property_Use,TFS_Alarm_Time,TFS_Arrival_Time
0,0,1000,0,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-10-07T09:32:00,Central Heating/Cooling Unit,2018-10-07T10:41:52,43.64474854,-79.39179451,Electrical Failure,Multi-Unit Dwelling - Over 12 Units,2018-10-07T09:24:19,2018-10-07T09:27:31
0,0,15000,2,Undetermined,Fire alarm system operation undetermined,Not applicable (bldg not classified by OBC OR detached/semi/town home),2018-10-07T17:34:24,"Stove, Range-top burner",2018-10-07T18:29:45,43.59994305,-79.50001021,Improper handling of ignition source or ignited material,Multi-Unit Dwelling - 7 to 12 Units,2018-10-07T17:16:36,2018-10-07T17:21:06
0,0,500,0,Undetermined,Fire alarm system did not operate,Fire alarm system present,2018-10-08T01:14:38,"Stove, Range-top burner",2018-10-08T02:39:31,43.64763714,-79.37150339,"Routine maintenance deficiency, eg creosote, lint, grease buildup","Restaurants (occupant load greater than 30 persons, licensed)",2018-10-08T01:07:25,2018-10-08T01:11:52
0,0,2000,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,No Fire alarm system,2018-10-08T21:18:15,"Terminations-Copper (incl receptacles, switches, lights)",2018-10-08T21:58:02,43.72425476,-79.62077731,Electrical Failure,"Attached Dwelling (eg. rowhouse, townhouse, etc.)",2018-10-08T21:08:15,2018-10-08T21:13:38
0,0,400000,0,Undetermined,Fire alarm system operation undetermined,Undetermined,2018-10-09T04:10:40,Undetermined,2018-10-09T07:57:08,43.72366824,-79.25485246,Suspected Arson,Motor Vehicle Repair Garage,2018-10-09T03:52:22,2018-10-09T03:57:28
0,0,400000,0,"Not applicable: No fire alarm system, no persons present",Fire alarm system operation undetermined,Undetermined,2018-10-09T07:30:00,Undetermined,2018-10-10T05:14:02,43.67989381,-79.50981425,Undetermined,Detached Dwelling,2018-10-09T06:42:14,2018-10-09T06:48:46
0,0,150000,4,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-10-09T15:00:00,"Blow Torch, Bunsen Burner",2018-10-09T17:18:00,43.64992996,-79.45660044,Improper handling of ignition source or ignited material,Detached Dwelling,2018-10-09T14:11:59,2018-10-09T14:16:53
0,0,2000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2018-11-12T12:06:36,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2018-11-12T12:29:49,43.68580849,-79.58097677,Improperly Discarded,General Business Office,2018-11-12T11:55:40,2018-11-12T12:02:16
0,0,3000,4,"Not applicable: No fire alarm system, no persons present",Fire alarm system operation undetermined,Fire alarm system present,2018-11-12T16:50:59,"Stove, Range-top burner",2018-11-12T18:01:04,43.77605913,-79.33991325,Unattended,Multi-Unit Dwelling - Over 12 Units,2018-11-12T16:41:47,2018-11-12T16:48:36
0,0,5000,0,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-11-12T22:16:03,Clothes Dryer,2018-11-12T23:11:35,43.708654,-79.38887917,"Other unintentional cause, not classified",Multi-Unit Dwelling - Over 12 Units,2018-11-12T22:06:34,2018-11-12T22:12:06
0,0,0,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operation undetermined,Fire alarm system present,2018-11-13T02:36:00,Undetermined,2018-11-13T02:56:30,43.69340893,-79.48326653,Suspected Arson,Multi-Unit Dwelling - Over 12 Units,2018-11-13T02:26:24,2018-11-13T02:33:49
0,0,5000,0,Undetermined,Fire alarm system operation undetermined,Fire alarm system present,2018-11-13T10:47:58,Oven,2018-11-13T11:20:53,43.75001387,-79.20665178,"Other unintentional cause, not classified",Semi-Detached Dwelling,2018-11-13T10:44:30,2018-11-13T10:47:58
0,0,0,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,Fire alarm system present,2018-11-13T15:13:37,Oven,2018-11-13T15:23:35,43.66359915,-79.37721451,"Other unintentional cause, not classified",Multi-Unit Dwelling - Over 12 Units,2018-11-13T15:05:21,2018-11-13T15:09:34
0,0,5000,2,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operation undetermined,Undetermined,2018-10-11T21:47:02,Other,2018-10-11T23:21:46,43.67005646,-79.46405852,"Other unintentional cause, not classified",Mfg: Alcoholic Beverages,2018-10-11T21:42:03,2018-10-11T21:47:01
1,0,1000,0,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-10-12T08:06:31,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2018-10-12T08:30:39,43.65752957,-79.38948938,Used or Placed too close to combustibles,Public/Private Hospital,2018-10-12T08:04:38,2018-10-12T08:06:31
0,0,10000,1,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),No Fire alarm system,2018-10-12T18:49:23,Oven,2018-10-12T19:47:08,43.69150942,-79.59770744,"Other unintentional cause, not classified","Mfg: Watercraft, Parts",2018-10-12T18:28:33,2018-10-12T18:34:58
1,0,5000,6,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-10-12T22:07:00,Other Lighting Equipment,2018-10-12T23:34:39,43.81178484,-79.32621364,Used or Placed too close to combustibles,Multi-Unit Dwelling - Over 12 Units,2018-10-12T21:46:37,2018-10-12T21:50:17
0,0,15000,2,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2018-10-14T12:29:00,Central Heating/Cooling Unit,2018-10-14T13:52:57,43.67112968,-79.34685952,Electrical Failure,Semi-Detached Dwelling,2018-10-14T12:12:58,2018-10-14T12:16:33
0,0,5000,5,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-10-13T14:48:20,"Other Cooking Items (eg Toaster, Kettle, elec frying pan)",2018-10-13T15:09:38,43.75984016,-79.51618242,Unattended,Multi-Unit Dwelling - Over 12 Units,2018-10-13T14:39:12,2018-10-13T14:43:33
1,0,2000,0,Undetermined,Fire alarm system operated,Fire alarm system present,2018-10-13T19:52:24,Oven,2018-10-13T20:57:45,43.60043272,-79.51113866,"Other unintentional cause, not classified",Multi-Unit Dwelling - Over 12 Units,2018-10-13T19:39:57,2018-10-13T19:42:44
0,0,10000,0,"Not applicable: No fire alarm system, no persons present",Fire alarm system did not operate,No Fire alarm system,2018-10-14T09:18:27,Clothes Dryer,2018-10-14T09:57:57,43.73535642,-79.56139083,"Routine maintenance deficiency, eg creosote, lint, grease buildup","Laundry, Dry Cleaner (includes self-service)",2018-10-14T09:10:47,2018-10-14T09:15:29
0,0,10000,100,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-08-20T19:51:11,Wood burning stove,2018-08-20T20:46:15,43.64925465,-79.38688114,Design/Construction/Installation/Maintenance Deficiency,Restaurant (occupant load less than 30 persons),2018-08-20T18:54:15,2018-08-20T18:57:23
0,0,1000000,0,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-08-21T16:11:14,"Distribution Equipment (includes panel boards, fuses, circuit br",2018-08-23T23:37:57,43.67025835,-79.37040716,Electrical Failure,Multi-Unit Dwelling - Over 12 Units,2018-08-21T12:51:05,2018-08-21T12:54:08
0,0,0,0,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-08-21T00:16:05,Other,2018-08-21T01:21:33,43.72477238,-79.51042617,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,2018-08-21T00:05:17,2018-08-21T00:08:07
0,0,2500,0,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-08-22T14:38:59,Oven,2018-08-22T15:01:11,43.69873062,-79.55223189,Unattended,School - Secondary Junior High (Gr. 7 & 8),2018-08-22T14:30:46,2018-08-22T14:36:59
0,0,1000,0,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system did not operate,Fire alarm system present,2018-08-24T07:19:34,"Other Cooking Items (eg Toaster, Kettle, elec frying pan)",2018-08-24T07:54:56,43.69835952,-79.54596188,Electrical Failure,Multi-Unit Dwelling - Over 12 Units,2018-08-24T07:11:01,2018-08-24T07:16:22
0,0,3000,2,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-11-13T16:10:51,"Stove, Range-top burner",2018-11-13T16:44:34,43.64977281,-79.43368974,Unattended,Multi-Unit Dwelling - Over 12 Units,2018-11-13T16:02:00,2018-11-13T16:05:25
0,0,4000,0,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-11-13T19:16:36,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2018-11-13T20:31:28,43.69615103,-79.29156518,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,2018-11-13T18:56:05,2018-11-13T19:01:05
1,0,300000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2018-11-13T21:54:44,Undetermined,2018-11-14T17:14:14,43.7558524,-79.44176487,Undetermined,"Apartment, Flat, Tenement with Business",2018-11-13T20:41:19,2018-11-13T20:45:25
0,0,80000,0,Undetermined,Not applicable (no system),No Fire alarm system,2018-11-13T22:35:16,"Extension Cord, Temporary Wiring",2018-11-14T07:37:05,43.68996505,-79.29379557,Electrical Failure,"Clothing Store, Accessories, fur",2018-11-13T22:02:48,2018-11-13T22:07:35
0,0,9000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2018-11-14T00:08:10,Undetermined,2018-11-14T00:39:38,43.73619327,-79.27909903,Suspected Arson,Other Industrial,2018-11-13T23:37:00,2018-11-13T23:42:54
1,0,20000,1,Undetermined,Fire alarm system operated,Fire alarm system present,2018-11-14T17:24:56,Undetermined,2018-11-14T18:55:12,43.67812649,-79.30118139,"Unintentional, cause undetermined",Multi-Unit Dwelling - Over 12 Units,2018-11-14T17:15:39,2018-11-14T17:19:32
0,0,40000,5,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-10-14T23:14:22,"Incandescent Lamp - Light Bulb, Spotlight",2018-10-15T00:25:26,43.73781856,-79.23778564,Used or Placed too close to combustibles,Multi-Unit Dwelling - Over 12 Units,2018-10-14T22:45:15,2018-10-14T22:47:49
0,0,25000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2018-10-16T03:37:12,Under Investigation,2018-10-16T15:48:54,43.76042164,-79.48733488,Suspected Arson,Mobile Home,2018-10-16T03:21:56,2018-10-16T03:27:01
0,0,5000,2,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-10-16T11:33:00,"Stove, Range-top burner",2018-10-16T12:04:23,43.67093637,-79.3788754,"Other unintentional cause, not classified",Multi-Unit Dwelling - Over 12 Units,2018-10-16T11:23:06,2018-10-16T11:26:25
0,0,150000,0,Undetermined,Fire alarm system operation undetermined,Undetermined,2018-10-16T12:19:31,Undetermined,2018-10-16T14:37:08,43.70086063,-79.46944885,Undetermined,Mfg: Asphalt Products,2018-10-16T11:56:45,2018-10-16T12:02:11
0,0,2000,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operation undetermined,Fire alarm system present,2018-10-16T15:55:00,Other Open Flame Tools/Smokers' Articles,2018-10-16T16:23:16,43.7075512,-79.50511495,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,2018-10-16T15:38:47,2018-10-16T15:44:00
0,0,10000,0,Undetermined,Fire alarm system did not operate,Fire alarm system present,2018-10-16T16:45:26,"Blow Torch, Bunsen Burner",2018-10-16T17:03:57,43.68731527,-79.39797587,Other misuse of ignition source/material ignited,Sports/Country/Social/Yacht Club,2018-10-16T16:27:57,2018-10-16T16:31:48
0,0,10000,1,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-10-16T17:49:08,"Stove, Range-top burner",2018-10-16T18:16:56,43.65495489,-79.37587523,Unattended,Multi-Unit Dwelling - Over 12 Units,2018-10-16T17:32:08,2018-10-16T17:35:25
0,0,1000,0,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-10-16T19:40:00,"Stove, Range-top burner",2018-10-16T20:01:54,43.77001129,-79.50249285,Unattended,Multi-Unit Dwelling - Over 12 Units,2018-10-16T19:31:13,2018-10-16T19:36:05
0,0,2000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2018-10-16T22:29:01,Undetermined,2018-10-16T22:31:59,43.64788537,-79.5268928,Undetermined,Multi-Unit Dwelling - Over 12 Units,2018-10-16T21:18:36,2018-10-16T21:22:37
0,0,0,0,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-10-17T13:45:27,Undetermined,2018-10-17T13:53:10,43.74631494,-79.58816523,Suspected Youth Vandalism (Ages 12 to 17),"Attached Dwelling (eg. rowhouse, townhouse, etc.)",2018-10-17T13:38:42,2018-10-17T13:44:02
0,0,3000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2018-10-17T15:37:01,"Stove, Range-top burner",2018-10-17T16:25:18,43.74108294,-79.48555778,"Unintentional, cause undetermined",Multi-Unit Dwelling - 2 to 6 Units,2018-10-17T15:28:59,2018-10-17T15:34:41
0,0,5000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2018-09-10T18:04:39,"Distribution Equipment (includes panel boards, fuses, circuit br",2018-09-10T19:16:35,43.73439893,-79.46694665,Electrical Failure,Detached Dwelling,2018-09-10T17:58:27,2018-09-10T18:04:38
0,0,2500,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,Fire alarm system present,2018-09-11T11:18:41,Service/Utility Lines (includes power/hydro transmission lines),2018-09-11T12:11:06,43.65353782,-79.46529786,Electrical Failure,Multi-Unit Dwelling - 7 to 12 Units,2018-09-11T11:09:32,2018-09-11T11:14:03
0,0,0,0,Undetermined,Fire alarm system operated,Fire alarm system present,2018-09-12T18:31:44,Undetermined,2018-09-12T18:45:45,43.65616273,-79.37012259,Suspected Vandalism,Multi-Unit Dwelling - Over 12 Units,2018-09-12T18:28:06,2018-09-12T18:31:44
0,0,20000,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operation undetermined,No Fire alarm system,2018-09-13T17:11:57,Cutting/Welding Equipment,2018-09-13T17:53:38,43.7180716,-79.25590446,"Other unintentional cause, not classified",Motor Vehicle Repair Garage,2018-09-13T17:03:05,2018-09-13T17:09:23
0,0,5000,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operation undetermined,Fire alarm system present,2018-09-13T17:52:19,"Stove, Range-top burner",2018-09-13T18:39:44,43.64519682,-79.52116737,Design/Construction/Installation/Maintenance Deficiency,"Restaurants (occupant load greater than 30 persons, licensed)",2018-09-13T17:27:00,2018-09-13T17:32:42
0,0,2000,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operation undetermined,Undetermined,2018-09-14T13:54:30,Vehicle - Mechanical,2018-09-14T14:30:06,43.74638653,-79.48203979,Undetermined,"Sto: Warehouse, variety of items, not classified by codes",2018-09-14T13:45:23,2018-09-14T13:51:28
0,0,5000,1,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-09-14T21:59:16,Other Electrical,2018-09-14T22:20:28,43.64837727,-79.3683014,Electrical Failure,Multi-Unit Dwelling - 7 to 12 Units,2018-09-14T21:21:12,2018-09-14T21:24:23
0,0,100,0,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-09-14T22:15:00,Undetermined,2018-09-14T22:31:13,43.69340893,-79.48326653,Suspected Youth Vandalism (Ages 12 to 17),Multi-Unit Dwelling - Over 12 Units,2018-09-14T22:06:23,2018-09-14T22:12:33
0,0,200000,1,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2018-09-14T23:59:32,Undetermined,2018-09-15T07:12:12,43.6782374,-79.34848373,Design/Construction/Installation/Maintenance Deficiency,Detached Dwelling,2018-09-14T23:47:59,2018-09-14T23:52:31
0,0,0,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operation undetermined,Undetermined,2018-09-15T02:20:00,"Distribution Equipment (includes panel boards, fuses, circuit br",2018-09-15T02:24:05,43.68124622,-79.33765219,"Routine maintenance deficiency, eg creosote, lint, grease buildup",Subway Station,2018-09-15T01:46:24,2018-09-15T01:50:57
0,0,500,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operation undetermined,Fire alarm system present,2018-09-15T05:10:00,Oven,2018-09-15T05:13:28,43.650087,-79.38629115,Other misuse of ignition source/material ignited,"Hotel, Motel, Lodging - 4 or more guests or suites",2018-09-15T05:00:50,2018-09-15T05:06:03
0,0,100,0,Undetermined,Fire alarm system operation undetermined,Fire alarm system present,2018-09-15T06:15:05,Undetermined,2018-09-15T06:26:48,43.70692189,-79.39747433,Suspected Arson,General Business Office,2018-09-15T06:11:08,2018-09-15T06:14:54
0,0,600,0,"Not applicable: No fire alarm system, no persons present",Fire alarm system operation undetermined,Fire alarm system present,2018-12-09T21:19:22,Candle,2018-12-09T21:49:45,43.6550454,-79.57244262,Unattended,Multi-Unit Dwelling - Over 12 Units,2018-12-09T21:12:47,2018-12-09T21:17:18
0,0,5000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2018-12-10T19:15:23,Fireplace - Masonry,2018-12-10T19:48:16,43.70322061,-79.51734555,"Routine maintenance deficiency, eg creosote, lint, grease buildup",Detached Dwelling,2018-12-10T18:50:13,2018-12-10T18:54:23
0,0,100,0,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-12-11T00:58:25,Space Heater - Portable,2018-12-11T01:32:07,43.74914766,-79.51568489,Used or Placed too close to combustibles,Multi-Unit Dwelling - Over 12 Units,2018-12-11T00:46:57,2018-12-11T00:52:13
0,0,900,0,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-12-11T14:13:58,"Stove, Range-top burner",2018-12-11T14:27:58,43.66286483,-79.40307605,"Unintentional, cause undetermined",Multi-Unit Dwelling - 2 to 6 Units,2018-12-11T14:09:20,2018-12-11T14:13:58
1,0,5000,1,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-09-17T13:00:00,"Stove, Range-top burner",2018-09-17T13:39:22,43.79259817,-79.31687934,Unattended,Multi-Unit Dwelling - Over 12 Units,2018-09-17T12:49:36,2018-09-17T12:55:31
0,0,2000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Undetermined,2018-09-17T13:27:42,Other,2018-09-17T13:44:48,43.64184385,-79.40612328,Mechanical Failure,Waste Transfer Station,2018-09-17T13:16:29,2018-09-17T13:22:58
0,0,1000,0,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-09-17T13:59:25,Central Heating/Cooling Unit,2018-09-17T14:07:58,43.71574097,-79.50475719,Design/Construction/Installation/Maintenance Deficiency,Police Station (without detention quarters),2018-09-17T13:45:52,2018-09-17T13:48:59
0,0,10000,997,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),No Fire alarm system,2018-09-17T14:21:17,Vehicle - Mechanical,2018-09-17T15:31:25,43.71993402,-79.29217488,Undetermined,Motor Vehicle Repair Garage,2018-09-17T14:09:13,2018-09-17T14:13:22
0,0,500,0,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),No Fire alarm system,2018-09-17T14:30:00,Undetermined,2018-09-17T14:34:19,43.73813477,-79.23793632,"Other unintentional cause, not classified","Restaurants (occupant load greater than 30 persons, licensed)",2018-09-17T14:21:55,2018-09-17T14:25:57
0,0,11000,0,Undetermined,Fire alarm system operation undetermined,Undetermined,2018-09-18T16:52:22,"Exposure, source structure detached",2018-09-18T17:58:04,43.67408457,-79.32931786,Other misuse of ignition source/material ignited,Sto: Tent or temporary structure for industrial storage,2018-09-18T16:19:52,2018-09-18T16:25:00
0,0,10,2,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2018-09-18T22:17:00,Candle,2018-09-18T22:40:44,43.72782857,-79.44067259,Unattended,Detached Dwelling,2018-09-18T22:11:18,2018-09-18T22:15:57
0,0,0,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,Fire alarm system present,2018-09-17T16:14:52,Open Fired Barbeque - Fixed or Portable,2018-09-17T16:30:50,43.64291283,-79.38147566,Unattended,Restaurant (occupant load less than 30 persons),2018-09-17T16:05:16,2018-09-17T16:10:12
0,0,500000,0,Undetermined,Fire alarm system operation undetermined,Undetermined,2018-09-17T22:17:03,Undetermined,2018-09-18T11:19:35,43.74461409,-79.22128134,Undetermined,Restaurant (occupant load less than 30 persons),2018-09-17T20:02:45,2018-09-17T20:08:03
0,0,9999,0,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-09-18T12:53:10,Vehicle - Mechanical,2018-09-18T14:03:15,43.68194095,-79.35751781,Mechanical Failure,Multi-Unit Dwelling - Over 12 Units,2018-09-18T11:50:06,2018-09-18T11:52:03
0,0,2000,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operated,Fire alarm system present,2018-09-18T15:04:11,"Stove, Range-top burner",2018-09-18T15:49:37,43.65389605,-79.39844581,Unattended,"Restaurants (occupant load greater than 30 persons, licensed)",2018-09-18T14:54:41,2018-09-18T14:58:06
0,0,3000,0,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),No Fire alarm system,2018-10-19T21:28:12,"Blow Torch, Bunsen Burner",2018-10-19T21:54:46,43.59229504,-79.54283476,"Other unintentional cause, not classified",Attached Dwelling with Business,2018-10-19T20:38:40,2018-10-19T20:44:15
0,0,5000,1,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2018-10-20T06:08:48,Undetermined,2018-10-20T06:39:37,43.65358418,-79.4184473,Undetermined,Detached Garage,2018-10-20T05:30:48,2018-10-20T05:35:15
0,0,50,0,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-10-20T13:46:11,"Lamp (eg. coal, oil, naphtha, etc.)",2018-10-20T14:13:31,43.63996381,-79.38019978,Improper handling of ignition source or ignited material,Multi-Unit Dwelling - Over 12 Units,2018-10-20T13:35:08,2018-10-20T13:39:41
0,0,300000,0,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-10-20T17:04:46,Cutting/Welding Equipment,2018-10-20T19:05:47,43.75044374,-79.62391184,"Other unintentional cause, not classified","Mfg: Grain Products, Bakery Goods",2018-10-20T16:43:17,2018-10-20T16:49:03
0,0,20000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2018-09-19T23:05:27,Florescent Lamp (includes ballast),2018-09-19T23:47:47,43.69421055,-79.31648429,Electrical Failure,Convenience/Variety Store,2018-09-19T22:31:21,2018-09-19T22:33:01
0,0,2000000,997,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Undetermined,2018-09-20T01:30:57,"Stove, Range-top burner",2018-09-20T22:37:18,43.65601149,-79.39351307,Used or Placed too close to combustibles,Semi-Detached Dwelling with Business,2018-09-20T00:05:46,2018-09-20T00:11:03
0,0,1000,0,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2018-09-20T20:17:12,"Stove, Range-top burner",2018-09-20T20:37:49,43.69443699,-79.45589435,Unattended,Semi-Detached Dwelling,2018-09-20T20:10:39,2018-09-20T20:15:59
0,0,1,0,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-09-20T20:37:46,Undetermined,2018-09-20T21:23:55,43.75206554,-79.26245973,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,2018-09-20T20:28:58,2018-09-20T20:32:32
0,0,5000,5,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2018-09-20T21:01:31,"Chemical Reaction (eg. spontaneous combustion, etc.)",2018-09-20T21:50:35,43.66757926,-79.45832632,Improperly Discarded,"Mfg: Secondary Processing (eg finished goods, furniture, etc)",2018-09-20T20:40:03,2018-09-20T20:44:40
0,0,1000,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,Fire alarm system present,2018-09-21T14:30:39,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2018-09-21T15:12:16,43.77316718,-79.48815455,Improperly Discarded,Mfg: Plastics,2018-09-21T13:37:26,2018-09-21T13:42:19
0,0,1000,1,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,Fire alarm system present,2018-09-21T16:57:41,"Stove, Range-top burner",2018-09-21T17:22:15,43.67620133,-79.4957082,Unattended,Multi-Unit Dwelling - Over 12 Units,2018-09-21T16:49:04,2018-09-21T16:54:10
0,0,200,0,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-09-22T01:30:00,Undetermined,2018-09-22T01:58:04,43.69379709,-79.38354537,Undetermined,Detached Dwelling,2018-09-22T01:20:34,2018-09-22T01:27:32
0,0,45000,3,Undetermined,Fire alarm system operation undetermined,Undetermined,2018-09-23T03:20:39,Undetermined,2018-09-23T04:24:07,43.68652579,-79.31314919,"Other unintentional cause, not classified",Multi-Unit Dwelling - 2 to 6 Units,2018-09-23T03:08:33,2018-09-23T03:13:28
0,0,1000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2018-10-20T18:45:58,Undetermined,2018-10-20T19:01:26,43.74050097,-79.44009332,Undetermined,Laboratory,2018-10-20T18:37:14,2018-10-20T18:43:36
0,0,1000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2018-10-21T10:14:00,Undetermined,2018-10-21T10:20:11,43.75063897,-79.44156783,Suspected Arson,Detached Dwelling,2018-10-21T09:57:32,2018-10-21T10:02:06
0,0,5000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Undetermined,2018-10-21T22:34:46,Wood burning stove,2018-10-22T00:08:04,43.74171412,-79.57381916,Unattended,Detached Garage,2018-10-21T22:24:58,2018-10-21T22:30:36
0,0,300,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2018-10-22T02:35:00,Undetermined,2018-10-22T02:42:03,43.65672194,-79.40651991,Undetermined,School - Elementary,2018-10-22T02:09:04,2018-10-22T02:13:07
0,0,200,997,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-10-22T14:27:52,Other Open Flame Tools/Smokers' Articles,2018-10-22T16:00:02,43.62661017,-79.35912581,"Other unintentional cause, not classified",School - Elementary,2018-10-22T14:18:55,2018-10-22T14:24:52
